1327	102381	"Kirkbride, Joseph Harold, Jr."	"Joseph Kirkbride"	"Joseph "	"Kirkbride"
1419	148876	"Klinger, Peter U."	"Peter U. Klinger"	"Peter "	"Klinger"
1805	136162	"Koch, Rudy G."	"Rudy G. Koch"	"Rudy "	"Koch"
1277	104240	"Koch, Stephen D."	"Stephen D. Koch"	"Stephen "	"Koch"
1795	149298	"Kohlmeyer, Jan Justus"	"Jan J. Kohlmeyer"	"Jan "	"Kohlmeyer"
2073	147384	"Kohn, Linda M."	"Linda M. Kohn"	"Linda "	"Kohn"
1015	130741	"Koske, Richard E."	"Richard E. Koske"	"Richard "	"Koske"
1856	101199	"Koyama, Tetsuo Michael"	"Tetsuo Koyama"	"Tetsuo "	"Koyama"
2010	101199	"Koyama, Tetsuo Michael"	"Tetsuo Koyama"	"Tetsuo "	"Koyama"
1628	118820	"Kramer, Charles Lawrence"	"Charles L. Kramer"	"Charles "	"Kramer"
1672	107800	"Kramer, Karl Ulrich"	"Karl U. Kramer"	"Karl "	"Kramer"
1555	124123	"Kron, Kathleen Anne"	"Kathleen A. Kron"	"Kathleen "	"Kron"
1297	130766	"Krug, John C."	"John C. Krug"	"John "	"Krug"
1297	171280	"Krug, John Christian"	"John C. Krug"	"John "	"Krug"
1532	173351	"Kukkonen, Ilkka Toiva Kalervo"	"Ilkka Kukkonen"	"Ilkka "	"Kukkonen"
1201	108401	"Kurtzman, Cletus P."	"Cletus Kurtzman"	"Cletus "	"Kurtzman"
1549	107517	"La Duke, John C."	"John C. La Duke"	"John "	"Duke"
1659	168989	"Lambinon, Jacques Ernest Joseph"	"Jacques Lambinon"	"Jacques "	"Lambinon"
1264	138477	"Lambley, Peter W."	"Peter W. Lambley"	"Peter "	"Lambley"
1301	122717	"Lammers, Thomas G."	"Thomas G. Lammers"	"Thomas "	"Lammers"
1461	164751	"Lamotte, Robert Smith"	"Robert R. Smith"	"Robert "	"Smith"
1478	110167	"Landrum, Leslie R."	"Leslie R. Landrum"	"Leslie "	"Landrum"
1250	144213	"Lang, Frank A."	"Frank A. Lang"	"Frank "	"Lang"
1250	173164	"Lang, Frank Alexander"	"Frank A. Lang"	"Frank "	"Lang"
1930	170118	"Langethal, Christian Eduard"	"Christian Lange"	"Christian "	"Lange"
